CollationId,Variant,Classic
40003001011,,εν
40003001012,,τη
40003001013,,ερημω
40003001014,,τησ
40003001015,,ιουδαιασ
40003002001,V,και
40003002002,,λεγων
40003002003,,μετανοειτε
40003002004,V,ηγγικεν
40003002005,,γαρ
40003002006,,η
40003002007,,βασιλεια
40003002008,,των
40003002009,,ουρανων
40003003001,,ουτοσ
40003003002,,γαρ
40003003003,,εστιν
40003003004,,ο
40003003005,,ρηθεισ
40003003006,V,δια
40003003007,V,υπο
40003003008,,ησαιου
40003003009,,του
40003003010,,προφητου
40003003011,,λεγοντοσ
40003003012,,φωνη
40003003013,,βοωντοσ
40003003014,,εν
40003003015,,τη
40003003016,,ερημω
40003003017,,ετοιμασατε
40003003018,,την
40003003019,,οδον
40003003020,,κυριου
40003003021,,ευθειασ
40003003022,,ποιειτε
40003003023,,τασ
40003003024,,τριβουσ
40003003025,,αυτου
40003004001,,αυτοσ
40003004002,,δε
40003004003,V,ο
40003004004,,ιωαννησ
40003004005,V,ειχεν
40003004006,,το
40003004007,,ενδυμα
40003004008,,αυτου
40003004009,,απο
40003004010,,τριχων
40003004011,,καμηλου
40003004012,,και
40003004013,,ζωνην
40003004014,,δερματινην
40003004015,,περι
40003004016,,την
40003004017,,οσφυν
40003004018,,αυτου
40003004019,,η
40003004020,,δε
40003004021,,τροφη
40003004022,V,αυτου
40003004023,V,ην
40003004024,V,αυτου
40003004025,,ακριδεσ
40003004026,,και
40003004027,,μελι
40003004028,,αγριον
40003005001,,τοτε
40003005002,,εξεπορευετο
40003005003,,προσ
40003005004,,αυτον
40003005005,,ιεροσολυμα
40003005006,,και
40003005007,,πασα
40003005008,,η
40003005009,,ιουδαια
40003005010,,και
40003005011,,πασα
40003005012,,η
40003005013,,περιχωροσ
40003005014,,του
40003005015,,ιορδανου
40003006001,,και
40003006002,,εβαπτιζοντο
40003006003,,εν
40003006004,,τω
40003006005,,ιορδανη
40003006006,V,ποταμω
40003006007,V,υπ
40003006008,V,αυτου
40003006009,,εξομολογουμενοι
40003006010,,τασ
40003006011,,αμαρτιασ
40003006012,,αυτων
40003007001,,ιδων
40003007002,,δε
40003007003,,πολλουσ
40003007004,,των
40003007005,,φαρισαιων
40003007006,,και
40003007007,,σαδδουκαιων
40003007008,,ερχομενουσ
40003007009,,επι
40003007010,,το
40003007011,,βαπτισμα
40003007012,V,αυτου
40003007013,,ειπεν
40003007014,,αυτοισ
40003007015,,γεννηματα
40003007016,,εχιδνων
40003007017,,τισ
40003007018,,υπεδειξεν
40003007019,,υμιν
40003007020,,φυγειν
40003007021,V,απο
40003007022,V,τησ
40003007023,V,μελλουσησ
40003007024,V,οργησ
40003008001,,ποιησατε
40003008002,,ουν
40003008003,V,καρπον
40003008004,V,καρπουσ
40003008005,V,αξιον
40003008006,V,αξιουσ
40003008007,,τησ
40003008008,,μετανοιασ
40003009001,,και
40003009002,,μη
40003009003,,δοξητε
40003009004,,λεγειν
40003009005,,εν
40003009006,,εαυτοισ
40003009007,,πατερα
40003009008,,εχομεν
40003009009,,τον
40003009010,,αβρααμ
40003009011,,λεγω
40003009012,,γαρ
40003009013,,υμιν
40003009014,,οτι
40003009015,,δυναται
40003009016,,ο
40003009017,,θεοσ
40003009018,,εκ
40003009019,,των
40003009020,,λιθων
40003009021,,τουτων
40003009022,,εγειραι
40003009023,,τεκνα
40003009024,,τω
40003009025,,αβρααμ
40003010001,V,ηδε
40003010002,V,ηδη
40003010003,,δε
40003010004,V,και
40003010005,,η
40003010006,,αξινη
40003010007,,προσ
40003010008,,την
40003010009,,ριζαν
40003010010,,των
40003010011,,δενδρων
40003010012,,κειται
40003010013,,παν
40003010014,,ουν
40003010015,,δενδρον
40003010016,,μη
40003010017,,ποιουν
40003010018,,καρπον
40003010019,,καλον
40003010020,,εκκοπτεται
40003010021,,και
40003010022,V,προσ
40003010023,V,εισ
40003010024,,πυρ
40003010025,,βαλλεται
40003011001,,εγω
40003011002,,μεν
40003011003,V,γαρ
40003011004,V,βαπτιζω
40003011005,V,υμασ
40003011006,V,βαπτιζω
40003011007,V,εν
40003011008,V,υδατι
40003011009,V,βαπτιζω
40003011010,,εισ
40003011011,,μετανοιαν
40003011012,,ο
40003011013,,δε
40003011014,V,οπισω
40003011015,V,μου
40003011016,,ερχομενοσ
40003011017,,ισχυροτεροσ
40003011018,,μου
40003011019,,εστιν
40003011020,,ου
40003011021,,ουκ
40003011022,,ειμι
40003011023,,ικανοσ
40003011024,,τα
40003011025,,υποδηματα
40003011026,,βαστασαι
40003011027,,αυτοσ
40003011028,,υμασ
40003011029,,βαπτισει
40003011030,,εν
40003011031,,πνευματι
40003011032,,αγιω
40003011033,V,και
40003011034,V,πυρι
40003012001,,ου
40003012002,,το
40003012003,,πτυον
40003012004,,εν
40003012005,,τη
40003012006,,χειρι
40003012007,,αυτου
40003012008,,και
40003012009,,διακαθαριει
